item_description,total_sales,cumulative_sales,revenue_share,segment
BLACK BOX CENTRAL COAST CAB-BIB - 3L,692.23,629161.1500000005,0.6101738397764366,A
ST IDES MALT NR - 12/40OZ,692.0,629853.1500000005,0.6108449560669534,A
SUTTER HOME S/BLC - 187ML,689.8399999999999,630542.9900000005,0.6115139775436154,A
TANQUERAY GIN - 1.75L,689.13,631232.1200000005,0.6121823104472047,A
HABESHA 4/6 NR,688.04,631920.1600000005,0.6128495862456546,A
COORS LT 18PK LNNR - 12OZ,687.0,632607.1600000005,0.613515853430026,A
NATURAL LT 2/12 CAN - 12OZ,687.0,633294.1600000005,0.6141821206143975,A
DEVILS BACKBONE VIENNA LAGER 4/6NR - 12OZ,683.88,633978.0400000005,0.6148453619565342,A
ELYSIAN SPACE DUST 4/6 NR 12OZ,679.61,634657.6500000005,0.6155044621620228,A
FLYING DOG SNAKE DOG IPA 2/12 CANS - 12OZ,676.54,635334.1900000005,0.6161605850163382,A
MILLER HIGH LIFE 4/6 LNNR - 12OZ,670.0,636004.1900000005,0.6168103652398155,A
KIM CRAWFORD S/BLC - 750ML,669.1800000000001,636673.3700000006,0.617459350209885,A
BELLS TWO HEARTED ALE 2/12 CANS,663.04,637336.4100000006,0.6181023804776079,A
PATRON TEQUILA - SILVER - 750ML,662.9200000000001,637999.3300000007,0.6187452943667834,A
JAMESON IRISH WHISKEY - 1L,662.48,638661.8100000006,0.619387781534618,A
TRULY SPIKED & SPARKLING WILD BERRY 4/6 CAN,655.8199999999999,639317.6300000006,0.620023809693067,A
WYCLIFF CAL BRUT CHAMP - 750ML,655.53,639973.1600000006,0.6206595566033597,A
GOOSE ISLAND IPA 2/15PK CAN,650.0,640623.1600000006,0.6212899404022556,A
ROLLING ROCK 18PK NR - 12OZ,649.0,641272.1600000006,0.6219193543799223,A
SMIRNOFF SCREWDRIVER 4/6NR - 11.2OZ,646.75,641918.9100000006,0.6225465862598237,A
BURNETT'S VODKA - 1.75L,646.15,642565.0600000006,0.6231732362469876,A
DOGFISH HEAD SEAQUENCH ALE 4/6 CAN,642.75,643207.8100000006,0.6237965888419728,A
BUD 24/12 PREPRINT LSE NR,640.0,643847.8100000006,0.6244172744285779,A
KENTUCKY GENTLEMAN - 1.75L,639.64,644487.4500000007,0.6250376108795406,A
BUD 3/8PK 16OZ CALNR - 16OZ,634.6600000000001,645122.1100000007,0.6256531176207826,A
GUINNESS FOREIGN EXTRA STOUT 6/4 NR - 11.2OZ,633.6,645755.7100000007,0.6262675963515216,A
BUD CHELADA CANS 15/CS - 25OZ,632.47,646388.1800000006,0.6268809791842719,A
DC BRAU PUBLIC PALE ALE 4/6 CANS - 12OZ,631.91,647020.0900000007,0.6274938189171338,A
BUD LIGHT LIME 18PK CAN - 12OZ,631.0,647651.0900000007,0.6281057761126774,A
SCHLITZ MALT 2/12 CAN - 12OZ,628.5,648279.5900000007,0.6287153087551481,A
ICEHOUSE 2/12 LNNR - 12OZ,625.5,648905.0900000007,0.6293219319339318,A
STELLA ARTOIS NR - 12/22OZ,623.39,649528.4800000007,0.6299265087899221,A
STRONGBOW GOLD CIDER 4/6NR - 11.2OZ,621.75,650150.2300000007,0.6305294951390967,A
SMIRNOFF TWISTED GREEN APPLE 4/6NR - 12OZ,616.75,650766.9800000007,0.631127632382126,A
SIERRA NEVADA PALE ALE 2/12 NR - 12OZ,614.5,651381.4800000007,0.6317235875273898,A
CORONA LIGHT 18PK NR - 12OZ,611.0,651992.4800000007,0.6323161482983519,A
TECATE 30 PACK CAN,606.8,652599.2800000007,0.632904635820152,A
SAM ADAMS SUMMER ALE 4/6 LN - 12OZ,603.25,653202.5300000007,0.6334896804765888,A
HEAVY SEAS LOOSE CANNON 4/6NR - 12OZ,603.0699999999999,653805.6000000007,0.6340745505652043,A
ANGRY ORCHARD MIX 2/12 NR - 12OZ,599.22,654404.8200000006,0.634655686842088,A
HEINEKEN LIGHT 4/6 NR - 12OZ,598.75,655003.5700000006,0.6352363673029939,A
SUTTER HOME P/GRIG 24/CS - 187ML,597.89,655601.4600000007,0.635816213717643,A
BUD LIGHT PLATINUM 2/12 CANS - 12OZ,597.5,656198.9600000007,0.6363956819020126,A
YUENGLING BLACK & TAN 2/12 NR - 12OZ,596.5,656795.4600000007,0.6369741802651532,A
BAREFOOT CEL PINK MOSCATO - 1.5L,596.22,657391.6800000006,0.6375524070783496,A
MICHELOB ULTRA 2/12PK 12OZ SLEEK CAN,595.0,657986.6800000006,0.6381294507096466,A
MIKES HARD BLACK CHERRY 4/6NR - 11.2OZ,593.0,658579.6800000006,0.6387045546984853,A
HOEGAARDEN 4/6NR - 12OZ,592.0,659171.6800000006,0.6392786888660951,A
BUD ICE 30PK CAN - 12OZ,588.8,659760.4800000007,0.6398497196057719,A
BECKS N/A-NR  - 12OZ,588.41,660348.8900000007,0.6404203721151693,A
DOS EQUIS LAGER 2/12-NR,585.45,660934.3400000007,0.6409881539537287,A
NEW AMSTERDAM VODKA - 1.75L,582.3499999999999,661516.6900000006,0.6415529293464778,A
JOHNNIE WALKER RED - 1.75L,579.72,662096.4100000006,0.6421151541093946,A
SMIRNOFF STRAWBERRY 4/6 NR - 11.2OZ,578.75,662675.1600000006,0.6426764381457192,A
ALAMOS MALBEC - 750ML,578.14,663253.3000000006,0.643237130591094,A
STEEL RESERVE PINEAPPLE12/24OZ CAN,576.0,663829.3000000006,0.6437957476190387,A
ANGRY ORCHARD CRISP APPLE 2/12 NR - 12OZ,575.54,664404.8400000007,0.644353918529218,A
OYSTER BAY S/BLC - 750ML,574.0899999999999,664978.9300000006,0.644910683198615,A
SAPPORO DRAFT 4/6 NR - 12OZ,572.12,665551.0500000006,0.6454655373201909,A
